text,label
"Watching a movie.",0
"Checking my tasks.",0
"Writing a story.",0
"Planning a vacation.",0
"Reading a magazine.",0
"Watering the yard.",0
"Packing my bag.",0
"Buying a book.",0
"Fixing my desk.",0
"Calling my sister.",0
"Sorting files.",0
"Playing cards.",0
"Cooking a roast.",0
"Shopping for tools.",0
"Cleaning the bathroom.",0
"Walking to the park.",0
"Studying science.",0
"Painting a wall.",0
"Organizing my closet.",0
"Watering the roses.",0
"Driving to school.",0
"Learning to draw.",0
"Folding towels.",0
"Updating my laptop.",0
"Planting herbs.",0
"Watching a show.",0
"Checking my notes.",0
"Writing a note.",0
"Planning a meeting.",0
"Reading a blog.",0
"Watering the bushes.",0
"Packing snacks.",0
"Buying a plant.",0
"Fixing my lamp.",0
"Calling my brother.",0
"Sorting papers.",0
"Playing a puzzle.",0
"Cooking chili.",0
"Shopping for gifts.",0
"Cleaning the floor.",0
"Walking by the river.",0
"Studying art.",0
"Painting a door.",0
"Organizing my files.",0
"Watering the trees.",0
"Driving to the gym.",0
"Learning to sing.",0
"Folding sheets.",0
"Updating my app.",0
"Planting a garden.",0
"Watching a game.",0
"Checking my list.",0
"Writing a blog.",0
"Planning a hike.",0
"Reading a journal.",0
"Watering the grass.",0
"Packing clothes.",0
"Buying a shirt.",0
"Fixing my table.",0
"Calling my friend.",0
"Sorting books.",0
"Playing a game.",0
"Cooking a steak.",0
"Shopping for books.",0
"Cleaning the fridge.",0
"Walking to the lake.",0
"Studying biology.",0
"Painting a room.",0
"Organizing my shelf.",0
"Watering the plants.",0
"Driving to the store.",0
"Learning to dance.",0
"Folding napkins.",0
"Updating my profile.",0
"Planting a flower.",0
"Watching a play.",0
"Checking my email.",0
"Writing a review.",0
"Planning a trip.",0
"Reading a paper.",0
"Watering the garden.",0
"Packing a suitcase.",0
"Buying a hat.",0
"Fixing my door.",0
"Calling my cousin.",0
"Sorting clothes.",0
"Playing soccer.",0
"Cooking a pie.",0
"Shopping for toys.",0
"Cleaning the stove.",0
"Walking to the beach.",0
"Studying chemistry.",0
"Painting a canvas.",0
"Organizing my desk.",0
"Watering the vines.",0
"Driving to the park.",0
"Learning to code.",0
"Folding scarves.",0
"Updating my blog.",0
"Planting a shrub.",0
"Watching a concert.",0
"Checking my schedule.",0
"Writing a script.",0
"Planning a dinner.",0
"Reading a book.",0
"Watering the ferns.",0
"Packing a backpack.",0
"Buying a jacket.",0
"Fixing my window.",0
"Calling my aunt.",0
"Sorting mail.",0
"Playing tennis.",0
"Cooking a cake.",0
"Shopping for gear.",0
"Cleaning the oven.",0
"Want your body tonight.",1
"Send me spicy pics. 😈",1
"Let's get freaky in bed.",1
"Slide into my DMs for fun.",1
"Your curves drive me wild.",1
"Meet me in private, babe.",1
"Wanna hook up later? 🔥",1
"Show me something naughty.",1
"Let's play dirty games.",1
"I want you naked now.",1
"Touch me where it counts.",1
"S3x chat tonight?",1
"You're my guilty pleasure.",1
"Strip for me slowly.",1
"Let's make it quick and hot.",1
"Whisper dirty things to me.",1
"I need you in my bed.",1
"Your lips are so tempting.",1
"Let's get physical. 💣",1
"Send nudes or else.",1
"Be my secret lover.",1
"Let's explore each other.",1
"You're so s3xy in lace.",1
"I dream of your body.",1
"Get on your knees.",1
"Let's do it in the car.",1
"You're my obsession, babe.",1
"I want to dominate you.",1
"Show me your wild side.",1
"Let's record us tonight.",1
"Grind on me slowly.",1
"Your scent is intoxicating.",1
"Meet me in the hotel room.",1
"Let's break some rules.",1
"You're too hot to handle.",1
"I crave your touch.",1
"Let's sneak away for fun.",1
"Show me your secrets.",1
"You're my naughty fantasy.",1
"Let's get kinky tonight. 🔥",1
"Send me something private.",1
"I want you all night.",1
"Your body is mine.",1
"Let's play rough.",1
"Tease me with your pics.",1
"You're so seductive.",1
"I want to own you.",1
"Let's do it in secret.",1
"You're my dirty secret.",1
"Show me your dark side.",1
"Let's get steamy. 😈",1
"I need your body now.",1
"Your lips drive me crazy.",1
"Let's make it quick.",1
"Be my playmate tonight.",1
"I want you in lingerie.",1
"You're my addiction.",1
"Let's hook up in private.",1
"Show me something wild.",1
"Let's break the bed.",1
"I crave your skin.",1
"Meet me for a quickie.",1
"Let's get naughty. 💣",1
"Send me a spicy video.",1
"I want you on top.",1
"Your body is perfect.",1
"Let's do it in the dark.",1
"You're my temptation.",1
"I need you tonight.",1
"Show me your moves.",1
"Let's get it on.",1
"You're so alluring.",1
"I want to taste you.",1
"Let's play in private.",1
"You're my dirty dream.",1
"Meet me in the shadows.",1
"Let's get freaky. 🔥",1
"Send me your secrets.",1
"I want you now.",1
"Your curves are dangerous.",1
"Let's do it quietly.",1
"You're my wild fantasy.",1
"I need your touch.",1
"Show me your body.",1
"Let's break some limits.",1
"You're too s3xy.",1
"I want you in bed.",1
"Let's get physical now.",1
"You're my naughty girl.",1
"Meet me for fun.",1
"Let's get spicy. 😈",1
"Send me a hot pic.",1
"I want you close.",1
"Your lips are calling.",1
"Let's do it tonight.",1
"You're my dirty thought.",1
"I need you in private.",1
"Show me your fire.",1
"Let's get wild. 💣",1
"You're my secret desire.",1
"I want you all over.",1
"Let's play dangerous.",1
"You're so hot tonight.",1
"Meet me in secret.",1
"Let's get kinky. 😈",1
"Send me something s3xy.",1
"I want you naked.",1
"Your body drives me mad.",1
"Let's do it in private.",1
"You're my guilty sin.",1
"I need your lips.",1
"Show me your passion.",1
"Let's break the rules.",1
"You're too tempting.",1
"I want you now. 🔥",1
"Let's get freaky now.",1
"You're my naughty wish.",1
"Meet me for a thrill.",1
"Let's get spicy tonight.",1
"Send me a naughty pic.",1
"I want you in my room.",1
"Your curves are calling.",1
"Let's do it secretly.",1
"You're my wild dream.",1
"I need you close now.",1
"Show me your heat.",1
"Let's get physical. 😈",1
"You're my secret love.",1
"I want you tonight. 💣",1
"Let's play in the dark.",1
"You're so seductive now.",1
"Meet me in private now.",1
"Let's get naughty tonight.",1
"Send me a spicy clip.",1
"I want you all to myself.",1
"Your body is my dream.",1
"Let's do it in the shadows.",1
"You're my naughty fantasy.",1
"I need your body tonight.",1
"Show me your wild moves.",1
"Let's break some boundaries.",1
"You're too hot for me.",1
"I want you in my bed now.",1
"Let's get freaky in private.",1
"You're my dirty desire.",1
"Meet me for a secret.",1
"Let's get kinky now. 🔥",1
"Send me something hot.",1
"I want you in my arms.",1
"Your lips are my weakness.",1
"Let's do it in the car.",1
"You're my wild thought.",1
"I need you in my room.",1
"Show me your dark secrets.",1
"Let's get physical tonight.",1
"You're my naughty dream.",1
"I want you close to me.",1
"Let's play naughty games.",1
"You're so alluring tonight.",1
"Meet me in the dark.",1
"Let's get spicy now. 😈",1
"Send me a private video.",1
"I want you in my bed.",1
"Your body is my fantasy.",1
"Let's do it in secret now.",1
"You're my guilty pleasure.",1
"I need you in my arms.",1
"Show me your naughty side.",1
"Let's break the limits.",1
"You're too s3xy tonight.",1
"I want you all night long.",1
"Let's get freaky tonight.",1
"You're my secret fantasy.",1
"Meet me for a quick thrill.",1
"Let's get naughty now.",1
"Send me a hot video.",1
"I want you in private now.",1
"Your curves are my dream.",1
"Let's do it in the shadows.",1
"You're my wild desire.",1
"I need your touch tonight.",1
"All gays are sinners.",2
"Blacks are lazy thieves.",2
"Women belong in kitchens.",2
"H4t3 all immigrants.",2
"Jews control everything.",2
"Muslims are terrorists.",2
"Asians eat dogs.",2
"Whites are supreme. 💣",2
"Deport all foreigners.",2
"Indians smell like curry.",2
"Kill the infidels.",2
"Gays don't deserve rights.",2
"Blacks are good at crime.",2
"Women are weak.",2
"Hate all religions.",2
"Jews are greedy.",2
"Muslims bomb everything.",2
"Asians are sneaky.",2
"White power rules.",2
"Foreigners ruin our land.",2
"Indians are filthy.",2
"Kill all non-believers.",2
"Gays are disgusting.",2
"Blacks are violent.",2
"Women can't lead.",2
"Hate the government.",2
"Jews run the banks.",2
"Muslims are dangerous.",2
"Asians are robots.",2
"Whites are the best.",2
"Deport them all.",2
"Indians are backward.",2
"Kill the heretics.",2
"Gays are unnatural.",2
"Blacks are criminals.",2
"Women are inferior.",2
"Hate all races.",2
"Jews are evil.",2
"Muslims are killers.",2
"Asians are weird.",2
"White supremacy now.",2
"Foreigners are scum.",2
"Indians are dirty.",2
"Kill the apostates.",2
"Gays are abominations.",2
"Blacks are trouble.",2
"Women are useless.",2
"Hate democracy.",2
"Jews control media.",2
"Muslims are radicals.",2
"Asians are spies.",2
"Whites rule the world.",2
"Deport the invaders.",2
"Indians are pests.",2
"Kill the traitors.",2
"Gays are perverts.",2
"Blacks are thugs.",2
"Women are objects.",2
"Hate freedom.",2
"Jews are liars.",2
"Muslims are bombers.",2
"Asians are fakes.",2
"White pride forever.",2
"Foreigners are trash.",2
"Indians are gross.",2
"Kill the non-whites.",2
"Gays are freaks.",2
"Blacks are savages.",2
"Women are slaves.",2
"Hate equality.",2
"Jews are manipulators.",2
"Muslims are fanatics.",2
"Asians are cheaters.",2
"Whites are gods.",2
"Foreigners are vermin.",2
"Indians are smelly.",2
"Kill the dissenters.",2
"Gays are sick.",2
"Blacks are brutes.",2
"Women are toys.",2
"Hate diversity.",2
"Jews are devils.",2
"Muslims are extremists.",2
"Asians are drones.",2
"White race supreme.",2
"Foreigners are parasites.",2
"Indians are unhygienic.",2
"Kill the outsiders.",2
"Gays are wrong.",2
"Blacks are animals.",2
"Women are property.",2
"Hate unity.",2
"Jews are corrupt.",2
"Muslims are savages.",2
"Asians are copies.",2
"White power now.",2
"Foreigners are invaders.",2
"Indians are vile.",2
"Kill the rebels.",2
"Gays are cursed.",2
"Blacks are beasts.",2
"Women are nothing.",2
"Hate peace.",2
"Jews are villains.",2
"Muslims are murderers.",2
"Asians are frauds.",2
"Whites are kings.",2
"Foreigners are filth.",2
"Indians are nasty.",2
"Kill the enemies.",2
"Gays are evil.",2
"Blacks are garbage.",2
"Women are tools.",2
"Hate love.",2
"Jews are scum.",2
"Muslims are psychos.",2
"Asians are liars.",2
"White rule forever.",2
"Foreigners are rats.",2
"Indians are trash.",2
"Kill the heathens.",2
"Gays are demons.",2
"Blacks are monsters.",2
"Women are trash.",2
"Hate justice.",2
"Jews are snakes.",2
"Muslims are lunatics.",2
"Asians are scams.",2
"White gods rule.",2
"Foreigners are bugs.",2
"Indians are rats.",2
"Kill the sinners.",2
"Gays are vile.",2
"Blacks are scum.",2
"Women are garbage.",2
"Hate fairness.",2
"Jews are vermin.",2
"Muslims are maniacs.",2
"Asians are phonies.",2
"White supremacy rules.",2
"Foreigners are garbage.",2
"Indians are bugs.",2
"Kill the infidels now.",2
"Gays are trash.",2
"Blacks are filth.",2
"Women are scum.",2
"Hate harmony.",2
"Jews are rats.",2
"Muslims are crazies.",2
"Asians are fakes.",2
"White power supreme.",2
"Foreigners are scum.",2
"Indians are filth.",2
"Kill the non-believers now.",2
"Gays are garbage.",2
"Blacks are rats.",2
"Women are filth.",2
"Hate equality now.",2
"Jews are filth.",2
"Muslims are terrorists now.",2
"Asians are cheats.",2
"White rule supreme.",2
"Foreigners are trash now.",2
"Indians are scum.",2
"Kill the heretics now.",2
"Gays are filth.",2
"Blacks are garbage now.",2
"Women are rats.",2
"Hate peace now.",2
"Jews are garbage.",2
"Muslims are killers now.",2
"Asians are liars now.",2
"Whites are supreme now.",2
"B0mb the city. 🔥",3
"Join the jihad now.",3
"Plant the IED.",3
"Strike the infidels.",3
"Martyr for the cause.",3
"Attack the base. 💣",3
"Holy war begins.",3
"Recruit for Al Qaeda.",3
"Detonate the package.",3
"Overthrow the government.",3
"Radicalize the youth.",3
"Plan the assault.",3
"Execute the traitors.",3
"Blow up the bridge.",3
"Jihad is our path.",3
"Target the civilians.",3
"Arm the militia.",3
"Spread the propaganda.",3
"Join the caliphate.",3
"Strike the embassy. 😈",3
"B0mb the market.",3
"Train for insurgency.",3
"Attack the police.",3
"Martyrdom awaits.",3
"Plan the siege.",3
"Recruit for ISIS.",3
"Detonate the vest.",3
"Overthrow the regime.",3
"Radicalize the masses.",3
"Assault the station.",3
"Execute the spies.",3
"Blow up the school.",3
"Jihad calls us.",3
"Target the tourists.",3
"Arm the rebels.",3
"Spread the terror.",3
"Join the holy war.",3
"Strike the airport.",3
"B0mb the train.",3
"Train for jihad.",3
"Attack the soldiers.",3
"Martyr for paradise.",3
"Plan the takeover.",3
"Recruit for terror.",3
"Detonate the car.",3
"Overthrow the system.",3
"Radicalize the kids.",3
"Assault the mall.",3
"Execute the leaders.",3
"Blow up the church.",3
"Jihad is our duty.",3
"Target the crowds.",3
"Arm the fighters.",3
"Spread the fear.",3
"Join the uprising.",3
"Strike the capital.",3
"B0mb the stadium.",3
"Train for attack.",3
"Attack the government.",3
"Martyr for glory.",3
"Plan the bombing.",3
"Recruit for war.",3
"Detonate the device.",3
"Overthrow the state.",3
"Radicalize the group.",3
"Assault the city.",3
"Execute the officials.",3
"Blow up the tower.",3
"Jihad is our life.",3
"Target the buses.",3
"Arm the radicals.",3
"Spread the chaos.",3
"Join the resistance.",3
"Strike the ports.",3
"B0mb the streets.",3
"Train for rebellion.",3
"Attack the army.",3
"Martyr for faith.",3
"Plan the strike.",3
"Recruit for chaos.",3
"Detonate the bomb.",3
"Overthrow the order.",3
"Radicalize the crowd.",3
"Assault the building.",3
"Execute the enemies.",3
"Blow up the mosque.",3
"Jihad is our goal.",3
"Target the trains.",3
"Arm the insurgents.",3
"Spread the panic.",3
"Join the martyrs.",3
"Strike the schools.",3
"B0mb the hotels.",3
"Train for terror.",3
"Attack the bases.",3
"Martyr for heaven.",3
"Plan the attack.",3
"Recruit for jihad.",3
"Detonate the package.",3
"Overthrow the rulers.",3
"Radicalize the people.",3
"Assault the streets.",3
"Execute the traitors.",3
"Blow up the market.",3
"Jihad is our mission.",3
"Target the stations.",3
"Arm the warriors.",3
"Spread the violence.",3
"Join the rebellion.",3
"Strike the cities.",3
"B0mb the roads.",3
"Train for uprising.",3
"Attack the civilians.",3
"Martyr for the cause.",3
"Plan the destruction.",3
"Recruit for anarchy.",3
"Detonate the vest.",3
"Overthrow the leaders.",3
"Radicalize the nation.",3
"Assault the airports.",3
"Execute the infidels.",3
"Blow up the temples.",3
"Jihad is our fight.",3
"Target the bridges.",3
"Arm the soldiers.",3
"Spread the terror now.",3
"Join the holy fight.",3
"Strike the markets.",3
"B0mb the buildings.",3
"Train for war.",3
"Attack the embassies.",3
"Martyr for Allah.",3
"Plan the takeover.",3
"Recruit for the cause.",3
"Detonate the car bomb.",3
"Overthrow the government now.",3
"Radicalize the youth now.",3
"Assault the capitals.",3
"Execute the spies now.",3
"Blow up the trains.",3
"Jihad is our destiny.",3
"Target the hotels.",3
"Arm the radicals now.",3
"Spread the fear now.",3
"Join the insurgency.",3
"Strike the stations.",3
"B0mb the airports.",3
"Train for chaos.",3
"Attack the schools.",3
"Martyr for paradise now.",3
"Plan the siege now.",3
"Recruit for terror now.",3
"Detonate the device now.",3
"Overthrow the state now.",3
"Radicalize the masses now.",3
"Assault the cities.",3
"Execute the leaders now.",3
"Blow up the churches.",3
"Jihad is our path now.",3
"Target the crowds now.",3
"Arm the fighters now.",3
"Spread the chaos now.",3
"Join the uprising now.",3
"Strike the ports now.",3
"B0mb the streets now.",3
"Train for rebellion now.",3
"Attack the army now.",3
"Martyr for glory now.",3
"Plan the bombing now.",3
"Recruit for war now.",3
"Detonate the bomb now.",3
"Overthrow the system now.",3
"Radicalize the kids now.",3
"Assault the malls.",3
"Execute the officials now.",3
"Blow up the towers.",3
"Jihad is our life now.",3
"Target the buses now.",3
"Arm the insurgents now.",3
"Spread the panic now.",3
"Join the resistance now.",3
"Strike the capitals now.",3
"Buy m0lly pills. 🔥",4
"Score some w33d.",4
"Got that snow candy.",4
"Popping xanax tonight.",4
"Need k3tamine quick.",4
"Shrooms for sale. 😈",4
"High on molly now.",4
"Grow that gr33n.",4
"C0ke for the party.",4
"LSD tabs ready.",4
"Score some h3roin.",4
"Party favors available.",4
"Drop some acid.",4
"Need percs now.",4
"Got that m3th.",4
"Smoke that kush.",4
"Pop some molly.",4
"Buy some candy pills.",4
"Snort that snow.",4
"Shrooms for a trip.",4
"Got that k3t.",4
"Score some w33d now.",4
"High on xans.",4
"Grow that herb.",4
"C0ke for sale.",4
"LSD for the night.",4
"Need h3roin quick.",4
"Party favors for all.",4
"Drop some tabs.",4
"Buy some percs.",4
"Got that ice.",4
"Smoke that gr33n.",4
"Pop some xanax.",4
"Buy some m0lly.",4
"Snort that c0ke.",4
"Shrooms for fun.",4
"Got that special K.",4
"Score some kush.",4
"High on molly pills.",4
"Grow that w33d.",4
"C0ke for the weekend.",4
"LSD tabs for sale.",4
"Need some h3roin.",4
"Party favors ready.",4
"Drop some acid now.",4
"Buy some xans.",4
"Got that m3th now.",4
"Smoke that herb.",4
"Pop some percs.",4
"Buy some candy.",4
"Snort that snow now.",4
"Shrooms for a high.",4
"Got that k3tamine.",4
"Score some gr33n.",4
"High on xanax now.",4
"Grow that kush.",4
"C0ke for the night.",4
"LSD for a trip.",4
"Need some m0lly.",4
"Party favors for you.",4
"Drop some tabs now.",4
"Buy some percs now.",4
"Got that ice now.",4
"Smoke that w33d.",4
"Pop some molly now.",4
"Buy some c0ke.",4
"Snort that candy.",4
"Shrooms for the party.",4
"Got that h3roin.",4
"Score some k3t.",4
"High on percs.",4
"Grow that gr33n now.",4
"C0ke for a high.",4
"LSD tabs ready now.",4
"Need some xans.",4
"Party favors for sale.",4
"Drop some acid tabs.",4
"Buy some m3th.",4
"Smoke that kush now.",4
"Pop some xanax now.",4
"Buy some molly pills.",4
"Snort that snow candy.",4
"Shrooms for a vibe.",4
"Got that special K now.",4
"Score some w33d quick.",4
"High on molly now.",4
"Grow that herb now.",4
"C0ke for the club.",4
"LSD for the weekend.",4
"Need some h3roin now.",4
"Party favors available now.",4
"Drop some tabs quick.",4
"Buy some percs quick.",4
"Got that m3th quick.",4
"Smoke that gr33n quick.",4
"Pop some xanax quick.",4
"Buy some candy quick.",4
"Snort that c0ke quick.",4
"Shrooms for a high now.",4
"Got that k3t quick.",4
"Score some kush quick.",4
"High on xans quick.",4
"Grow that w33d quick.",4
"C0ke for a party.",4
"LSD tabs for a vibe.",4
"Need some molly quick.",4
"Party favors for all now.",4
"Drop some acid quick.",4
"Buy some xans quick.",4
"Got that ice quick.",4
"Smoke that herb quick.",4
"Pop some percs quick.",4
"Buy some m0lly quick.",4
"Snort that snow quick.",4
"Shrooms for fun now.",4
"Got that h3roin quick.",4
"Score some k3t quick.",4
"High on molly pills quick.",4
"Grow that kush quick.",4
"C0ke for the night now.",4
"LSD for a high quick.",4
"Need some percs quick.",4
"Party favors ready now.",4
"Drop some tabs quick.",4
"Buy some m3th quick.",4
"Smoke that w33d quick.",4
"Pop some xanax quick.",4
"Buy some candy now.",4
"Snort that c0ke now.",4
"Shrooms for a trip now.",4
"Got that special K quick.",4
"Score some gr33n quick.",4
"High on xans now.",4
"Grow that herb quick.",4
"C0ke for a vibe.",4
"LSD tabs for fun.",4
"Need some h3roin quick.",4
"Party favors for you now.",4
"Drop some acid now.",4
"Buy some percs now.",4
"Got that ice now.",4
"Smoke that kush now.",4
"Pop some molly now.",4
"Buy some c0ke now.",4
"Snort that candy now.",4
"Shrooms for a party.",4
"Got that h3roin now.",4
"Score some k3t now.",4
"High on percs now.",4
"Grow that gr33n now.",4
"C0ke for a high now.",4
"LSD tabs ready quick.",4
"Need some xans now.",4
"Party favors for sale now.",4
"Drop some acid tabs now.",4
"Buy some m3th now.",4
"Smoke that herb now.",4
"Pop some xanax now.",4
"Buy some molly pills now.",4
"Snort that snow candy now.",4
"Shrooms for a vibe now.",4
"Got that special K now.",4
"Score some w33d now.",4
"High on molly now.",4
"Grow that kush now.",4
"C0ke for the club now.",4
"LSD for the weekend now.",4
"Need some h3roin now.",4
"Party favors available quick.",4
"Drop some tabs now.",4
"Buy some percs now.",4
"Got that m3th now.",4
"Smoke that gr33n now.",4
"Pop some xanax now.",4
"Buy some candy now.",4
"Snort that c0ke now.",4
"Shrooms for fun quick.",4
"Got that k3t now.",4
"Score some kush now.",4
"High on xans now.",4
"Grow that w33d now.",4
"C0ke for a party now.",4
"LSD tabs for a vibe now.",4
"Need some molly now.",4
"Party favors for all quick.",4
"Drop some acid quick.",4
"Buy some xans quick.",4
"Got that ice quick.",4
"Smoke that herb quick.",4
"Pop some percs quick.",4
"Buy some m0lly quick.",4
"Snort that snow quick.",4
"Shrooms for a high quick.",4
"Got that h3roin quick.",4
"Score some k3t quick.",4
"High on molly pills quick.",4
"Grow that gr33n quick.",4
"C0ke for the night quick.",4
"LSD for a trip quick.",4
"Need some percs quick.",4
"Party favors ready quick.",4
"Drop some tabs quick.",4
"Buy some m3th quick.",4
"Smoke that kush quick.",4
"Pop some xanax quick.",4
"Win $1M, click here! 😈",5
"Send money for prize.",5
"Nigerian prince needs help.",5
"Your account is hacked, pay now.",5
"Free iPhone, just pay shipping.",5
"Invest in crypto scam.",5
"Forex trading bot profits.",5
"Car warranty extended.",5
"Virus on computer, pay fix.",5
"Student loan forgiveness scam.",5
"Shopify store millions.",5
"Credit repair fast.",5
"Affiliate marketing riches.",5
"Self storage unit profits.",5
"Fake charity donate now.",5
"Binary options win big.",5
"Mortgage relief scam.",5
"Palm read your future.",5
"Tarot card wealth.",5
"Franchise buy now.",5
"Win a cruise, click link.",5
"Send cash for inheritance.",5
"Account frozen, pay to unlock.",5
"Free gift card, just sign up.",5
"Crypto pump and dump.",5
"Forex signals guaranteed.",5
"Car insurance scam.",5
"PC virus, pay to clean.",5
"Loan forgiveness now.",5
"E-commerce millions scam.",5
"Credit score fix fast.",5
"Online marketing riches.",5
"Storage unit wealth.",5
"Charity scam donate.",5
"Options trading profits.",5
"Home loan scam.",5
"Fortune teller scam.",5
"Tarot scam wealth.",5
"Business franchise scam.",5
"Win $500K, click now!",5
"Send funds for prize.",5
"African prince scam.",5
"Bank account hacked, pay.",5
"Free tablet, pay shipping.",5
"Crypto scam profits.",5
"Forex bot millions.",5
"Car warranty scam.",5
"Computer virus scam.",5
"Student debt scam.",5
"Shopify scam riches.",5
"Credit repair scam.",5
"Affiliate scam wealth.",5
"Storage scam profits.",5
"Fake charity scam.",5
"Binary scam riches.",5
"Mortgage scam relief.",5
"Palm reading scam.",5
"Tarot card scam.",5
"Franchise scam buy.",5
"Win a car, click link.",5
"Send money for lottery.",5
"Prince needs funds.",5
"Account locked, pay now.",5
"Free phone, just pay.",5
"Crypto scam millions.",5
"Forex signals scam.",5
"Car insurance fraud.",5
"Virus scam, pay fix.",5
"Loan scam forgiveness.",5
"E-commerce scam profits.",5
"Credit fix scam.",5
"Marketing scam riches.",5
"Storage unit scam.",5
"Charity fraud donate.",5
"Options scam profits.",5
"Home loan fraud.",5
"Fortune scam future.",5
"Tarot scam millions.",5
"Business scam franchise.",5
"Win $2M, click here!",5
"Send cash for win.",5
"Nigerian scam prince.",5
"Hacked account, pay.",5
"Free laptop, pay shipping.",5
"Crypto fraud profits.",5
"Forex bot scam.",5
"Car warranty fraud.",5
"PC virus fraud.",5
"Debt forgiveness scam.",5
"Shopify fraud riches.",5
"Credit scam fix.",5
"Affiliate fraud wealth.",5
"Storage scam millions.",5
"Fake charity fraud.",5
"Binary fraud riches.",5
"Mortgage fraud relief.",5
"Palm scam future.",5
"Tarot fraud wealth.",5
"Franchise fraud buy.",5
"Win a trip, click now!",5
"Send funds for jackpot.",5
"African scam prince.",5
"Account scam, pay now.",5
"Free tablet, just pay.",5
"Crypto scam riches.",5
"Forex signals fraud.",5
"Car insurance scam now.",5
"Virus fraud, pay fix.",5
"Loan scam millions.",5
"E-commerce fraud profits.",5
"Credit repair fraud.",5
"Marketing fraud riches.",5
"Storage fraud profits.",5
"Charity scam millions.",5
"Options scam wealth.",5
"Home loan scam now.",5
"Fortune teller fraud.",5
"Tarot scam riches.",5
"Business scam millions.",5
"Win $3M, click link!",5
"Send money for win now.",5
"Prince scam funds.",5
"Hacked scam, pay now.",5
"Free phone, pay now.",5
"Crypto fraud millions.",5
"Forex bot fraud.",5
"Car warranty scam now.",5
"Computer virus fraud.",5
"Student loan scam now.",5
"Shopify scam millions.",5
"Credit fix fraud.",5
"Affiliate scam millions.",5
"Storage scam riches.",5
"Fake charity scam now.",5
"Binary scam profits.",5
"Mortgage scam millions.",5
"Palm reading fraud.",5
"Tarot card fraud.",5
"Franchise scam riches.",5
"Win a house, click now!",5
"Send cash for prize now.",5
"Nigerian prince fraud.",5
"Account hacked scam.",5
"Free gift, pay shipping.",5
"Crypto scam wealth.",5
"Forex signals scam now.",5
"Car insurance fraud now.",5
"Virus scam millions.",5
"Loan forgiveness fraud.",5
"E-commerce scam riches.",5
"Credit scam millions.",5
"Marketing scam profits.",5
"Storage fraud millions.",5
"Charity fraud millions.",5
"Options fraud riches.",5
"Home loan fraud now.",5
"Fortune scam wealth.",5
"Tarot fraud millions.",5
"Business fraud riches.",5
"Win $4M, click here!",5
"Send funds for lottery now.",5
"African prince scam now.",5
"Bank scam, pay now.",5
"Free laptop, just pay.",5
"Crypto fraud riches.",5
"Forex bot scam now.",5
"Car warranty fraud now.",5
"PC virus scam now.",5
"Debt scam forgiveness.",5
"Shopify fraud millions.",5
"Credit fraud fix.",5
"Affiliate fraud riches.",5
"Storage scam wealth.",5
"Fake charity fraud now.",5
"Binary fraud profits.",5
"Mortgage fraud riches.",5
"Palm scam riches.",5
"Tarot scam profits.",5
"Franchise fraud millions.",5
"Win $5M, click now!",5
"Send money for jackpot now.",5
"Prince fraud funds.",5
"Hacked account fraud.",5
"Free phone scam now.",5
